anio,codigo_depto,codigo_muni,codigo_evento,num_casos,porcentaje_mun
912094,6795,7087638,185665,627.0,0.03948561640384906
1103403,28496,28867544,223549,929.0,0.058504206761045896
950386,8024,8336464,185633,843.0,0.05308831679177792
1173935,40810,41200610,224875,1124.0,0.07078442238903723
1264481,25748,26167504,242333,1139.0,0.07172905436042118
849653,8440,8739620,167034,629.0,0.03961156733336692
2116104,87548,87714047,404655,2068.0,0.13023326112146708
992775,11339,11669310,186045,735.0,0.04628696659781349
370499,920,1039048,76449,238.0,0.01498816061262532
3495619,90272,91721560,687574,5780.0,0.36399818630661496
958448,10948,11267872,188500,828.0,0.05214368482039397
636256,23068,23281300,126791,468.0,0.029472517507179205
634252,7875,8078175,121657,465.0,0.029283591112902414
140944,4760,4807110,27871,78.0,0.004912086251196534
674560,23450,23677130,131308,490.0,0.030857977731875662
869780,16173,16460532,173818,569.0,0.03583303944783112
912152,10419,10724775,188767,764.0,0.04811325507582246
203339,5454,5521670,41979,117.0,0.007368129376794801
1403446,9551,10013126,275330,977.0,0.06152702906947453
420809,10450,10592120,83114,260.0,0.01637362083732178
553694,11080,11262475,108339,333.0,0.020970829764723663
253708,1638,1716120,47075,163.0,0.010265000755705578
640316,6360,6598500,125393,399.0,0.02512721043881304
175214,1305,1362420,35963,100.0,0.006297546475892992
521498,3367,3534573,100807,380.0,0.023930676608393372
10067,470,474415,1441,5.0,0.00031487732379464965
247673,1599,1678950,50700,141.0,0.008879540531009119
1236245,22116,22535106,245514,812.0,0.0511360773842511
1816288,61336,61948458,352201,2045.0,0.1287848254320117
674586,4355,4574090,123688,562.0,0.035392211194518616
155045,1001,1051435,33036,83.0,0.005226963574991183
650392,1615,1826888,130115,469.0,0.029535492971938134
213439,7208,7280292,41165,126.0,0.00793490855962517
348323,2941,3056045,64115,200.0,0.012595092951785984
209409,520,588432,38636,124.0,0.00780895763010731
338253,11424,11538912,65696,210.0,0.013224847599375283
350329,2610,2725536,69778,226.0,0.014232455035518161
157081,1794,1847196,30066,86.0,0.005415889969267973
